TT        PID       AT        CT        IO_D      WT        RT        TRT       DL        
26        3002      11        15        0         0         1         15        0         
26        3005      22        4         0         0         -1        4         0         
26        3007      24        2         0         0         -1        2         0         
28        3         6         20        10        2         1         22        21        
83        3011      30        39        0         14        15        53        0         
83        3019      47        36        0         0         -1        36        0         
83        3023      55        28        0         0         -1        28        0         
116       3001      9         96        0         11        12        107       0         
116       3017      44        72        0         0         -1        72        0         
116       3021      50        66        0         0         -1        66        0         
120       1         2         103       7         15        1         118       42        
120       3003      13        92        0         15        91        107       0         
120       3027      115       80        0         -75       -1        5         0         
120       3028      120       75        0         -75       -1        0         0         
122       12        27        15        12        80        75        95        36        
127       7         14        79        13        34        26        113       86        
127       3015      42        76        0         9         42        85        0         
127       3024      87        72        0         -32       -1        40        0         
127       3025      88        71        0         -32       -1        39        0         
134       4         11        121       2         2         1         123       23        
134       3006      23        109       0         2         -1        111       0         
134       3016      43        89        0         2         86        91        0         
157       29        105       34        1         18        1         52        120       
172       3008      29        143       0         0         1         143       0         
172       3012      30        142       0         0         92        142       0         
172       3029      123       140       0         -91       -1        49        0         
172       3030      124       139       0         -91       -1        48        0         
172       3022      51        121       0         0         -1        121       0         
176       19        66        88        7         22        1         110       135       
177       5         11        159       10        7         1         166       42        
177       3004      16        156       0         5         21        161       0         
177       3014      41        151       0         -15       -1        136       0         
177       3020      48        144       0         -15       -1        129       0         
198       14        36        162       8         0         1         162       174       
202       15        42        40        4         120       1         160       52        
211       2         3         54        2         154       13        208       39        
211       3040      179       32        0         0         -1        32        0         
211       3013      35        34        0         142       -1        176       0         
216       20        72        82        11        62        3         144       79        
222       58        186       36        0         0         1         36        199       
226       45        144       14        1         68        67        82        149       
249       17        53        31        8         165       2         196       65        
252       3009      29        143       0         80        81        223       0         
252       3031      126       126       0         0         10        126       0         
252       3034      143       118       0         -9        -1        109       0         
252       3035      148       113       0         -9        -1        104       0         
252       3032      127       125       0         0         -1        125       0         
282       25        96        66        4         120       9         186       115       
292       40        136       90        1         66        41        156       208       
337       6         11        161       3         165       1         326       92        
355       8         17        247       0         91        92        338       169       
355       3026      113       242       0         0         -1        242       0         
355       3033      132       223       0         0         122       223       0         
355       3047      258       218       0         -121      -1        97        0         
355       3052      269       207       0         -121      -1        86        0         
386       9         21        270       0         95        96        365       85        
386       3036      165       221       0         0         150       221       0         
386       3053      325       210       0         -149      -1        61        0         
386       3054      326       209       0         -149      -1        60        0         
386       3039      177       209       0         0         -1        209       0         
392       10        22        294       10        76        1         370       285       
392       3010      29        287       0         76        144       363       0         
392       3037      173       286       0         -67       63        219       0         
392       3045      236       285       0         -129      -1        156       0         
392       3046      238       283       0         -129      149       154       0         
392       3038      174       285       0         -67       -1        218       0         
392       3018      46        270       0         76        207       346       0         
392       3048      258       264       0         -130      -1        134       0         
392       3051      263       259       0         -130      105       129       0         
392       3058      378       248       0         -234      -1        14        0         
392       3059      384       242       0         -234      -1        8         0         
395       28        105       39        9         251       1         290       121       
396       32        114       94        14        188       1         282       119       
408       71        238       48        17        122       118       170       281       
408       3055      358       45        0         5         -1        50        0         
408       3057      370       33        0         5         -1        38        0         
438       39        135       94        0         209       10        303       174       
440       3041      196       183       0         61        62        244       0         
440       3049      259       181       0         0         -1        181       0         
440       3050      262       178       0         0         149       178       0         
440       3071      414       174       0         -148      -1        26        0         
440       3073      427       161       0         -148      -1        13        0         
442       44        141       179       1         122       14        301       300       
461       3056      364       5         0         92        93        97        0         
461       3081      457       4         0         0         -1        4         0         
467       13        32        251       13        184       90        435       107       
480       69        238       96        2         146       46        242       300       
513       49        159       207       18        147       116       354       346       
513       3074      437       73        0         3         -1        76        0         
513       3082      457       53        0         3         -1        56        0         
516       22        83        228       0         205       5         433       173       
527       42        141       246       1         140       1         386       192       
556       85        283       166       0         107       108       273       297       
558       61        203       34        14        321       21        355       209       
565       33        114       46        13        405       9         451       135       
566       36        122       206       13        238       161       444       179       
566       3075      438       80        0         48        -1        128       0         
566       3077      444       74        0         48        -1        122       0         
574       3042      198       181       0         195       196       376       0         
574       3061      396       178       0         0         91        178       0         
574       3092      491       173       0         -90       -1        83        0         
574       3095      513       151       0         -90       -1        61        0         
574       3072      420       154       0         0         -1        154       0         
582       3060      393       117       0         72        73        189       0         
582       3087      466       116       0         0         -1        116       0         
582       3090      471       111       0         0         -1        111       0         
590       41        139       95        12        356       6         451       210       
595       64        220       114       16        261       102       375       241       
597       90        301       152       7         144       78        296       374       
598       81        271       93        2         234       64        327       339       
602       3063      400       20        0         182       183       202       0         
602       3098      590       12        0         0         -1        12        0         
602       3100      593       9         0         0         -1        9         0         
604       122       416       166       0         22        23        188       525       
605       3067      402       18        0         185       186       203       0         
605       3099      590       15        0         0         -1        15        0         
605       3102      602       3         0         0         -1        3         0         
609       3044      218       216       0         175       176       391       0         
609       3080      449       160       0         0         -1        160       0         
609       3085      461       148       0         0         -1        148       0         
609       43        141       135       13        333       28        468       210       
614       128       438       34        3         142       1         176       452       
623       72        241       69        0         313       29        382       250       
654       70        238       68        4         348       190       416       262       
654       62        210       69        8         375       75        444       229       
656       95        322       224       0         110       1         334       491       
656       3093      492       164       0         0         -1        164       0         
656       3094      496       160       0         0         -1        160       0         
658       3065      401       199       0         58        59        257       0         
658       3086      465       193       0         0         -1        193       0         
658       3091      476       182       0         0         -1        182       0         
658       65        222       43        12        393       128       436       253       
659       3043      215       219       0         225       226       444       0         
659       3083      458       201       0         0         -1        201       0         
659       3084      459       200       0         0         171       200       0         
659       3110      641       188       0         -170      -1        18        0         
660       16        49        75        15        536       100       611       78        
677       82        275       152       2         250       181       402       298       
696       11        24        160       4         512       1         672       127       
711       30        107       224       1         380       1         604       204       
715       38        129       61        13        525       106       586       173       
718       3066      402       144       0         172       173       316       0         
718       3101      597       121       0         0         -1        121       0         
718       3109      628       90        0         0         -1        90        0         
721       3062      398       112       0         211       212       323       0         
721       3104      612       109       0         0         -1        109       0         
721       3106      616       105       0         0         -1        105       0         
735       148       521       20        11        194       195       214       527       
752       110       377       31        13        344       88        375       406       
752       3088      467       28        0         257       -1        285       0         
752       3089      468       27        0         257       -1        284       0         
764       67        230       31        7         503       328       534       244       
776       222       761       12        15        3         4         15        766       
793       3096      579       137       0         77        78        214       0         
793       3117      695       98        0         0         -1        98        0         
793       3118      702       91        0         0         -1        91        0         
793       3070      411       135       0         247       248       382       0         
793       3112      667       126       0         0         -1        126       0         
793       3114      669       124       0         0         -1        124       0         
795       21        77        163       1         555       1         718       192       
798       88        292       43        11        463       107       506       298       
802       3064      400       200       0         202       203       402       0         
802       3107      622       180       0         0         -1        180       0         
802       3108      623       179       0         0         -1        179       0         
805       78        262       119       9         424       130       543       313       
813       74        241       108       5         464       336       572       257       
814       3069      409       209       0         196       197       405       0         
814       3103      606       208       0         0         -1        208       0         
814       3105      613       201       0         0         181       201       0         
814       3124      796       198       0         -180      -1        18        0         
814       3128      811       183       0         -180      -1        3         0         
814       76        252       20        7         542       71        562       269       
829       3078      445       170       0         214       215       384       0         
829       3111      663       166       0         0         -1        166       0         
829       3113      668       161       0         0         -1        161       0         
830       73        241       91        9         498       494       589       262       
833       3079      447       31        0         355       356       386       0         
833       3126      806       27        0         0         -1        27        0         
833       3130      818       15        0         0         -1        15        0         
833       164       553       38        14        242       44        280       563       
867       224       767       20        0         80        79        100       781       
875       27        102       284       9         489       1         773       367       
893       84        282       83        12        528       38        611       319       
894       3076      439       176       0         279       280       455       0         
